number,title,slug,weight_grams,category_id,reference,reference_status,purity,image_path,alt,short_description,asset_ready,publish_ready,review_reason
1,"Ornate Elephant and Floral Silver Purse",ornate-elephant-floral-silver-purse-400g,400,category-purse,PR-1,confirmed,92.5,public/images/silver-purses/ai-cleaned-2026-08-01/purse-01-ornate-elephant-floral-400g.png,"Ornate silver purse with a curved handle and raised elephant and floral motifs","A structured 92.5% silver purse featuring raised elephant panels, scrolling floral openwork, a sculpted handle, and an ornate central clasp.",true,true,""
2,"Blue-Stone Vertical Silver Purse",blue-stone-vertical-silver-purse-600g,600,category-purse,PR-2,confirmed,92.5,public/images/silver-purses/ai-cleaned-2026-08-01/purse-02-blue-stone-vertical-600g.png,"Tall rectangular silver purse decorated with blue stones and a beaded chain strap","A tall 92.5% silver purse with intricate openwork, blue and pastel stone accents, a peacock-inspired top detail, and a coordinating beaded chain strap.",true,true,""
3,"Gold-Tone Floral Silver Purse",gold-tone-floral-silver-purse-730g,730,category-purse,PR-3,confirmed,92.5,public/images/silver-purses/ai-cleaned-2026-08-01/purse-03-gold-tone-floral-730g.png,"Rounded gold-tone silver purse with an arched handle, floral relief, and stone accents","A rounded gold-tone 92.5% silver purse enriched with layered floral relief, multicolored stones, a sculpted arched handle, and an antique finish.",true,true,""
4,"Jeweled Medallion Silver Clutch",jeweled-medallion-silver-clutch-500g,500,category-purse,PR-4,confirmed,92.5,public/images/silver-purses/ai-cleaned-2026-08-01/purse-04-jeweled-medallion-clutch-500g.png,"Jeweled silver clutch with a curved handle, central black medallion, and pink beaded strap","A statement 92.5% silver clutch with a jewel-set lattice body, central black medallion, curved handle, and an elaborate pink, white, and gold beaded strap.",true,true,""
5,"Red Fabric and Silver Potli Purse",red-fabric-silver-potli-purse-298g,298,category-purse,PR-5,confirmed,92.5,public/images/silver-purses/ai-cleaned-2026-08-01/purse-05-red-fabric-potli-298g.png,"Red drawstring potli purse with an ornate silver lower panel, circular ornaments, and tassels","A festive red brocade potli combining embroidered fabric, gold drawstrings, circular tassel ornaments, and a finely woven 92.5% silver panel with hanging fringe.",true,true,""
6,"Woven Silver Tote Purse",woven-silver-tote-purse-330g,330,category-purse,PR-6,confirmed,92.5,public/images/silver-purses/ai-cleaned-2026-08-01/purse-06-woven-silver-tote-330g.png,"Structured silver tote purse with a woven pattern, double rounded handles, and hanging ornaments","A structured 92.5% silver tote with a handwoven basket texture, polished double handles, floral attachment details, and elegant hanging ornaments.",true,true,""
7,"Green-Stone Silver Clutch",green-stone-silver-clutch-600g,600,category-purse,PR-7,confirmed,92.5,public/images/silver-purses/ai-cleaned-2026-08-01/purse-07-green-stone-clutch-600g.png,"Ornate silver clutch with green stones, floral relief, and a green and pink beaded strap","An ornate 92.5% silver clutch accented with a central green stone, pearl and crystal details, delicate hanging ornaments, and a colorful beaded strap.",true,true,""
8,"Embossed Floral Silver Handbag",embossed-floral-silver-handbag-390g,390,category-purse,PR-8,confirmed,92.5,public/images/silver-purses/ai-cleaned-2026-08-01/purse-08-embossed-floral-handbag-390g.png,"Rectangular silver handbag with a round handle and embossed scrolling floral decoration","A classic 92.5% silver handbag covered in deep scrolling floral relief, finished with a sculpted round handle, curved flap, and decorative central clasp.",true,true,""
9,"Beaded Oval Silver Clutch",beaded-oval-silver-clutch-380g,380,category-purse,PR-9,confirmed,92.5,public/images/silver-purses/ai-cleaned-2026-08-01/purse-09-beaded-oval-clutch-380g.png,"Oval silver clutch with a round handle, fine beaded surface detailing, and a central clasp","A rounded 92.5% silver clutch with dense floral beadwork, a circular engraved handle, finely bordered edges, and a compact central clasp.",true,true,""
10,"Orange Brocade and Silver Potli Purse",orange-brocade-silver-potli-purse-295g,295,category-purse,PR-10,confirmed,92.5,public/images/silver-purses/ai-cleaned-2026-08-01/purse-10-orange-brocade-potli-295g.png,"Orange floral brocade drawstring potli with an ornate silver panel, green accents, and tassels","A vibrant orange brocade potli paired with a woven 92.5% silver panel, jewel-set side ornaments, green bead accents, and long purple-tipped chain tassels.",true,true,""
