sourceSequence,sourceFilename,number,reference,title,slug,shortDescription,alt,utensilType,purity,weightGrams,heightInches,widthInches,diameterInches,imagePath
42,WhatsApp Image 2026-08-05 at 12.59.12 PM.jpeg,42,DDA-UT-PL-42,Mini Concentric-Line Silver Plate,mini-concentric-line-silver-plate,"Mini Concentric-Line Silver Plate in 99.80% pure silver, featuring a compact raised rim and fine concentric rings; supplied at 50 g with a diameter of 4 in.",Mini Concentric-Line Silver Plate showing a compact raised rim and fine concentric rings on the warm ivory DDA Silver background,plate,99.80,50,,,4,public/images/silver-utensils/mixed-utensils-2026-08-06/42-mini-concentric-line-silver-plate.png
43,WhatsApp Image 2026-08-05 at 1.00.09 PM.jpeg,43,DDA-UT-PL-43,Compact Concentric-Line Silver Plate,compact-concentric-line-silver-plate,"Compact Concentric-Line Silver Plate in 99.80% pure silver, featuring a compact round profile and closely spaced concentric rings; supplied at 75 g with a diameter of 5 in.",Compact Concentric-Line Silver Plate showing a compact round profile and closely spaced concentric rings on the warm ivory DDA Silver background,plate,99.80,75,,,5,public/images/silver-utensils/mixed-utensils-2026-08-06/43-compact-concentric-line-silver-plate.png
44,WhatsApp Image 2026-08-05 at 1.01.28 PM.jpeg,44,DDA-UT-PL-44,Medium Concentric-Line Silver Plate,medium-concentric-line-silver-plate,"Medium Concentric-Line Silver Plate in 99.80% pure silver, featuring a balanced round profile with fine linear finishing; supplied at 100 g with a diameter of 5.5 in.",Medium Concentric-Line Silver Plate showing a balanced round profile with fine linear finishing on the warm ivory DDA Silver background,plate,99.80,100,,,5.5,public/images/silver-utensils/mixed-utensils-2026-08-06/44-medium-concentric-line-silver-plate.png
45,WhatsApp Image 2026-08-05 at 1.02.19 PM.jpeg,45,DDA-UT-PL-45,Deep Concentric-Line Silver Plate,deep-concentric-line-silver-plate,"Deep Concentric-Line Silver Plate in 99.80% pure silver, featuring a deeper plate profile and continuous horizontal line work; supplied at 125 g with a diameter of 6 in.",Deep Concentric-Line Silver Plate showing a deeper plate profile and continuous horizontal line work on the warm ivory DDA Silver background,plate,99.80,125,,,6,public/images/silver-utensils/mixed-utensils-2026-08-06/45-deep-concentric-line-silver-plate.png
46,WhatsApp Image 2026-08-05 at 1.03.00 PM.jpeg,46,DDA-UT-PL-46,Wide Concentric-Line Silver Plate,wide-concentric-line-silver-plate,"Wide Concentric-Line Silver Plate in 99.80% pure silver, featuring a wider serving surface and neatly finished concentric bands; supplied at 150 g with a diameter of 7 in.",Wide Concentric-Line Silver Plate showing a wider serving surface and neatly finished concentric bands on the warm ivory DDA Silver background,plate,99.80,150,,,7,public/images/silver-utensils/mixed-utensils-2026-08-06/46-wide-concentric-line-silver-plate.png
47,WhatsApp Image 2026-08-05 at 1.04.46 PM.jpeg,47,DDA-UT-PL-47,Large Concentric-Line Silver Plate,large-concentric-line-silver-plate,"Large Concentric-Line Silver Plate in 99.80% pure silver, featuring a generous rounded surface and fine concentric texture; supplied at 200 g with a diameter of 8 in.",Large Concentric-Line Silver Plate showing a generous rounded surface and fine concentric texture on the warm ivory DDA Silver background,plate,99.80,200,,,8,public/images/silver-utensils/mixed-utensils-2026-08-06/47-large-concentric-line-silver-plate.png
48,WhatsApp Image 2026-08-05 at 1.06.17 PM.jpeg,48,DDA-UT-PL-48,Grand Concentric-Line Silver Plate,grand-concentric-line-silver-plate,"Grand Concentric-Line Silver Plate in 99.80% pure silver, featuring a broad serving profile with an even lined finish; supplied at 250 g with a diameter of 9 in.",Grand Concentric-Line Silver Plate showing a broad serving profile with an even lined finish on the warm ivory DDA Silver background,plate,99.80,250,,,9,public/images/silver-utensils/mixed-utensils-2026-08-06/48-grand-concentric-line-silver-plate.png
49,WhatsApp Image 2026-08-05 at 1.07.10 PM.jpeg,49,DDA-UT-PL-49,Extra-Large Concentric-Line Silver Plate,extra-large-concentric-line-silver-plate,"Extra-Large Concentric-Line Silver Plate in 99.80% pure silver, featuring an extra-wide plate profile and continuous ring detailing; supplied at 300 g with a diameter of 10 in.",Extra-Large Concentric-Line Silver Plate showing an extra-wide plate profile and continuous ring detailing on the warm ivory DDA Silver background,plate,99.80,300,,,10,public/images/silver-utensils/mixed-utensils-2026-08-06/49-extra-large-concentric-line-silver-plate.png
50,WhatsApp Image 2026-08-05 at 1.08.27 PM.jpeg,50,DDA-UT-PL-50,Eleven-Inch Concentric-Line Silver Plate,eleven-inch-concentric-line-silver-plate,"Eleven-Inch Concentric-Line Silver Plate in 99.80% pure silver, featuring a substantial round form with fine horizontal rings; supplied at 400 g with a diameter of 11 in.",Eleven-Inch Concentric-Line Silver Plate showing a substantial round form with fine horizontal rings on the warm ivory DDA Silver background,plate,99.80,400,,,11,public/images/silver-utensils/mixed-utensils-2026-08-06/50-eleven-inch-concentric-line-silver-plate.png
51,WhatsApp Image 2026-08-05 at 1.09.12 PM.jpeg,51,DDA-UT-PL-51,Twelve-Inch Concentric-Line Silver Plate,twelve-inch-concentric-line-silver-plate,"Twelve-Inch Concentric-Line Silver Plate in 99.80% pure silver, featuring a broad twelve-inch surface with a refined lined finish; supplied at 500 g with a diameter of 12 in.",Twelve-Inch Concentric-Line Silver Plate showing a broad twelve-inch surface with a refined lined finish on the warm ivory DDA Silver background,plate,99.80,500,,,12,public/images/silver-utensils/mixed-utensils-2026-08-06/51-twelve-inch-concentric-line-silver-plate.png
52,WhatsApp Image 2026-08-05 at 1.10.55 PM.jpeg,52,DDA-UT-PL-52,Thirteen-Inch Concentric-Line Silver Plate,thirteen-inch-concentric-line-silver-plate,"Thirteen-Inch Concentric-Line Silver Plate in 99.80% pure silver, featuring the broadest plate profile in the set with dense concentric finishing; supplied at 600 g with a diameter of 13 in.",Thirteen-Inch Concentric-Line Silver Plate showing the broadest plate profile in the set with dense concentric finishing on the warm ivory DDA Silver background,plate,99.80,600,,,13,public/images/silver-utensils/mixed-utensils-2026-08-06/52-thirteen-inch-concentric-line-silver-plate.png
